#id	length	GC	avg.qual	sample
m84073_231201_024147_s2/234884132/ccs	1224	51.23	39.33	5A
m84073_231201_024147_s2/251662897/ccs	431	58.00	40.00	5A
m84073_231201_024147_s2/251662102/ccs	1227	51.02	39.28	5A
m84073_231201_024147_s2/246091716/ccs	1070	41.50	27.43	5A
m84073_231201_024147_s2/262868016/ccs	113	48.67	39.92	5A
m84073_231201_024147_s2/240521559/ccs	750	58.13	40.00	5A
m84073_231201_024147_s2/262869843/ccs	623	56.82	40.00	5A
m84073_231201_024147_s2/251727876/ccs	750	58.13	38.86	5A
m84073_231201_024147_s2/240522882/ccs	640	58.28	40.00	5A
m84073_231201_024147_s2/234950800/ccs	746	56.70	26.62	5A
m84073_231201_024147_s2/262934338/ccs	476	53.36	40.00	5A
m84073_231201_024147_s2/240456166/ccs	0	0.00	40.00	5A
m84073_231201_024147_s2/240456761/ccs	355	51.55	40.00	5A
m84073_231201_024147_s2/257234451/ccs	636	60.85	40.00	5A
m84073_231201_024147_s2/262804588/ccs	29	62.07	40.00	5A
m84073_231201_024147_s2/257232925/ccs	623	56.98	40.00	5A
m84073_231201_024147_s2/246156652/ccs	133	59.40	40.00	5A
m84073_231201_024147_s2/251793749/ccs	420	56.43	38.30	5A
m84073_231201_024147_s2/234950755/ccs	821	50.30	40.00	5A
m84073_231201_024147_s2/262935588/ccs	623	56.98	40.00	5A
m84073_231201_024147_s2/257363212/ccs	1069	41.44	40.00	5A
m84073_231201_024147_s2/251793500/ccs	29	62.07	40.00	5A
m84073_231201_024147_s2/262935257/ccs	566	39.75	40.00	5A
m84073_231201_024147_s2/234951716/ccs	1069	41.44	40.00	5A
m84073_231201_024147_s2/240587044/ccs	151	37.09	40.00	5A
m84073_231201_024147_s2/234952470/ccs	444	29.73	40.00	5A
m84073_231201_024147_s2/246158277/ccs	725	43.45	40.00	5A
m84073_231201_024147_s2/246157676/ccs	640	58.28	40.00	5A
m84073_231201_024147_s2/263066277/ccs	143	40.56	40.00	5A
m84073_231201_024147_s2/257363744/ccs	863	49.71	34.70	5A
m84073_231201_024147_s2/263001478/ccs	861	49.36	40.00	5A
m84073_231201_024147_s2/251860207/ccs	708	54.52	40.00	5A
m84073_231201_024147_s2/263000928/ccs	981	45.57	40.00	5A
m84073_231201_024147_s2/263130447/ccs	1217	36.57	32.91	5A
m84073_231201_024147_s2/240652303/ccs	1069	41.25	40.00	5A
m84073_231201_024147_s2/240588687/ccs	592	54.73	39.80	5A
m84073_231201_024147_s2/246222960/ccs	1069	41.25	40.00	5A
m84073_231201_024147_s2/246223993/ccs	560	45.00	39.98	5A
m84073_231201_024147_s2/257430489/ccs	431	58.00	40.00	5A
m84073_231201_024147_s2/251989401/ccs	29	62.07	40.00	5A
m84073_231201_024147_s2/246222697/ccs	476	53.36	40.00	5A
m84073_231201_024147_s2/235082140/ccs	191	45.55	40.00	5A
m84073_231201_024147_s2/235081526/ccs	725	43.59	40.00	5A
m84073_231201_024147_s2/235081524/ccs	264	51.14	40.00	5A
m84073_231201_024147_s2/235147351/ccs	318	54.72	33.81	5A
m84073_231201_024147_s2/246353744/ccs	1224	51.23	39.78	5A
m84073_231201_024147_s2/251989708/ccs	420	50.48	40.00	5A
m84073_231201_024147_s2/240718529/ccs	1224	51.23	40.00	5A
m84073_231201_024147_s2/263261616/ccs	821	50.30	40.00	5A
m84073_231201_024147_s2/235148546/ccs	1211	36.00	31.28	5A
m84073_231201_024147_s2/240718797/ccs	706	50.28	40.00	5A
m84073_231201_024147_s2/240719638/ccs	604	52.81	40.00	5A
m84073_231201_024147_s2/235212715/ccs	623	56.98	40.00	5A
m84073_231201_024147_s2/257692121/ccs	603	54.23	40.00	5A
m84073_231201_024147_s2/257626772/ccs	1070	41.50	24.42	5A
m84073_231201_024147_s2/257625483/ccs	623	56.98	40.00	5A
m84073_231201_024147_s2/257690632/ccs	335	45.07	40.00	5A
m84073_231201_024147_s2/257692147/ccs	662	50.30	40.00	5A
m84073_231201_024147_s2/257691010/ccs	1069	41.44	40.00	5A
m84073_231201_024147_s2/246420075/ccs	515	45.83	40.00	5A
m84073_231201_024147_s2/252055932/ccs	593	55.14	39.98	5A
m84073_231201_024147_s2/240783895/ccs	634	58.83	40.00	5A
m84073_231201_024147_s2/240783292/ccs	1186	48.82	40.00	5A
m84073_231201_024147_s2/240847907/ccs	708	54.52	39.96	5A
m84073_231201_024147_s2/240784119/ccs	821	50.18	40.00	5A
m84073_231201_024147_s2/263263474/ccs	811	51.05	28.69	5A
m84073_231201_024147_s2/240850004/ccs	151	37.09	40.00	5A
m84073_231201_024147_s2/252120992/ccs	428	58.41	40.00	5A
m84073_231201_024147_s2/252121256/ccs	106	72.64	40.00	5A
m84073_231201_024147_s2/235278716/ccs	593	55.14	39.98	5A
m84073_231201_024147_s2/235279092/ccs	861	49.01	40.00	5A
m84073_231201_024147_s2/252121708/ccs	593	55.14	30.09	5A
m84073_231201_024147_s2/235343931/ccs	151	37.09	40.00	5A
m84073_231201_024147_s2/235343199/ccs	431	58.00	40.00	5A
m84073_231201_024147_s2/235343101/ccs	635	59.06	39.22	5A
m84073_231201_024147_s2/235344628/ccs	49	48.98	38.58	5A
m84073_231201_024147_s2/252185776/ccs	662	50.15	39.99	5A
m84073_231201_024147_s2/263394499/ccs	460	28.70	40.00	5A
m84073_231201_024147_s2/252187472/ccs	725	43.45	40.00	5A
m84073_231201_024147_s2/240913965/ccs	159	44.65	40.00	5A
m84073_231201_024147_s2/240915165/ccs	861	49.36	40.00	5A
m84073_231201_024147_s2/257952982/ccs	0	0.00	40.00	5A
m84073_231201_024147_s2/257888168/ccs	476	53.36	40.00	5A
m84073_231201_024147_s2/252188156/ccs	318	55.03	40.00	5A
m84073_231201_024147_s2/252252160/ccs	662	50.30	23.24	5A
m84073_231201_024147_s2/240850574/ccs	1069	41.44	40.00	5A
m84073_231201_024147_s2/235411035/ccs	634	58.83	40.00	5A
m84073_231201_024147_s2/235474392/ccs	588	50.51	40.00	5A
m84073_231201_024147_s2/235410597/ccs	454	32.16	40.00	5A
m84073_231201_024147_s2/263459738/ccs	28	53.57	39.68	5A
m84073_231201_024147_s2/257953986/ccs	635	59.06	40.00	5A
m84073_231201_024147_s2/246617082/ccs	1206	52.24	40.00	5A
m84073_231201_024147_s2/240981709/ccs	754	33.95	40.00	5A
m84073_231201_024147_s2/257955161/ccs	307	55.70	40.00	5A
m84073_231201_024147_s2/246617716/ccs	1214	36.49	40.00	5A
m84073_231201_024147_s2/240981108/ccs	307	55.70	40.00	5A
m84073_231201_024147_s2/263524137/ccs	1069	41.44	40.00	5A
m84073_231201_024147_s2/263524553/ccs	346	40.46	40.00	5A
m84073_231201_024147_s2/235476505/ccs	476	53.36	40.00	5A
m84073_231201_024147_s2/235476145/ccs	724	43.92	40.00	5A
m84073_231201_024147_s2/235476760/ccs	821	50.30	36.54	5A
m84073_231201_024147_s2/235476835/ccs	0	0.00	36.54	5A
m84073_231201_024147_s2/246681278/ccs	623	57.14	24.11	5A
m84073_231201_024147_s2/241112647/ccs	705	55.18	40.00	5A
m84073_231201_024147_s2/246681387/ccs	1083	40.26	32.50	5A
m84073_231201_024147_s2/263655655/ccs	667	49.48	40.00	5A
m84073_231201_024147_s2/241176102/ccs	145	42.07	40.00	5A
m84073_231201_024147_s2/241176365/ccs	623	56.98	40.00	5A
m84073_231201_024147_s2/235540107/ccs	748	58.02	21.76	5A
m84073_231201_024147_s2/252448171/ccs	29	62.07	40.00	5A
m84073_231201_024147_s2/246748443/ccs	224	50.89	40.00	5A
m84073_231201_024147_s2/241241173/ccs	29	62.07	40.00	5A
m84073_231201_024147_s2/252384778/ccs	593	54.81	24.62	5A
m84073_231201_024147_s2/252384884/ccs	100	65.00	38.80	5A
m84073_231201_024147_s2/258086164/ccs	115	47.83	40.00	5A
m84073_231201_024147_s2/246812849/ccs	1197	58.56	40.00	5A
m84073_231201_024147_s2/241241508/ccs	1069	41.44	40.00	5A
m84073_231201_024147_s2/241307213/ccs	224	31.70	40.00	5A
m84073_231201_024147_s2/235606804/ccs	78	48.72	40.00	5A
m84073_231201_024147_s2/252448762/ccs	476	53.36	40.00	5A
m84073_231201_024147_s2/252449023/ccs	476	53.36	30.70	5A
m84073_231201_024147_s2/263786436/ccs	821	50.30	39.98	5A
m84073_231201_024147_s2/258149461/ccs	741	57.35	27.33	5A
m84073_231201_024147_s2/246879113/ccs	1071	41.36	39.44	5A
m84073_231201_024147_s2/246879840/ccs	1228	51.06	32.94	5A
m84073_231201_024147_s2/252514447/ccs	1069	41.44	40.00	5A
m84073_231201_024147_s2/258151863/ccs	431	58.00	40.00	5A
m84073_231201_024147_s2/252580652/ccs	632	62.34	40.00	5A
m84073_231201_024147_s2/263851957/ccs	431	58.00	40.00	5A
m84073_231201_024147_s2/252580236/ccs	78	48.72	40.00	5A
m84073_231201_024147_s2/247009787/ccs	1069	41.44	40.00	5A
m84073_231201_024147_s2/263917550/ccs	1069	41.44	39.21	5A
m84073_231201_024147_s2/263918361/ccs	640	58.28	40.00	5A
m84073_231201_024147_s2/247010869/ccs	115	47.83	40.00	5A
m84073_231201_024147_s2/247010454/ccs	7	42.86	40.00	5A
m84073_231201_024147_s2/258281297/ccs	1201	49.46	40.00	5A
m84073_231201_024147_s2/258282444/ccs	415	54.46	40.00	5A
m84073_231201_024147_s2/247075442/ccs	476	53.15	34.85	5A
m84073_231201_024147_s2/258347038/ccs	346	40.75	40.00	5A
m84073_231201_024147_s2/247075073/ccs	431	58.00	39.94	5A
m84073_231201_024147_s2/258347379/ccs	636	60.53	40.00	5A
m84073_231201_024147_s2/235737663/ccs	623	56.98	39.98	5A
m84073_231201_024147_s2/241439421/ccs	622	56.91	38.60	5A
m84073_231201_024147_s2/263982989/ccs	1069	41.44	40.00	5A
m84073_231201_024147_s2/247075947/ccs	431	58.00	40.00	5A
m84073_231201_024147_s2/247076540/ccs	361	38.78	40.00	5A
m84073_231201_024147_s2/263982538/ccs	115	47.83	40.00	5A
m84073_231201_024147_s2/235738647/ccs	817	41.00	40.00	5A
m84073_231201_024147_s2/241439340/ccs	741	57.35	31.00	5A
m84073_231201_024147_s2/252647050/ccs	431	58.00	40.00	5A
m84073_231201_024147_s2/258411707/ccs	741	57.35	40.00	5A
m84073_231201_024147_s2/252647046/ccs	1080	36.67	40.00	5A
m84073_231201_024147_s2/235804224/ccs	39	35.90	40.00	5A
m84073_231201_024147_s2/247205556/ccs	318	54.72	40.00	5A
m84073_231201_024147_s2/235803707/ccs	821	50.30	40.00	5A
m84073_231201_024147_s2/235802632/ccs	307	55.05	40.00	5A
m84073_231201_024147_s2/247141960/ccs	476	53.36	39.83	5A
m84073_231201_024147_s2/247205289/ccs	476	53.36	19.36	5A
m84073_231201_024147_s2/264049011/ccs	346	40.46	40.00	5A
m84073_231201_024147_s2/258413080/ccs	83	53.01	22.12	5A
m84073_231201_024147_s2/252775889/ccs	1069	41.44	40.00	5A
m84073_231201_024147_s2/252776621/ccs	354	41.53	28.19	5A
m84073_231201_024147_s2/235803520/ccs	623	56.98	31.84	5A
m84073_231201_024147_s2/241440361/ccs	741	57.35	40.00	5A
m84073_231201_024147_s2/235803261/ccs	662	50.30	35.83	5A
m84073_231201_024147_s2/264047981/ccs	817	41.00	40.00	5A
m84073_231201_024147_s2/252712402/ccs	634	58.83	40.00	5A
m84073_231201_024147_s2/247141352/ccs	662	50.30	39.99	5A
m84073_231201_024147_s2/247205224/ccs	346	40.46	39.95	5A
m84073_231201_024147_s2/252776204/ccs	1164	54.30	40.00	5A
m84073_231201_024147_s2/258412938/ccs	1227	51.18	37.41	5A
m84073_231201_024147_s2/241505789/ccs	593	55.14	30.07	5A
m84073_231201_024147_s2/264113610/ccs	663	49.62	38.85	5A
m84073_231201_024147_s2/241505897/ccs	623	56.82	40.00	5A
m84073_231201_024147_s2/235869445/ccs	1227	51.18	39.77	5A
m84073_231201_024147_s2/241505944/ccs	593	55.14	40.00	5A
m84073_231201_024147_s2/247206666/ccs	628	58.12	40.00	5A
m84073_231201_024147_s2/235933406/ccs	662	50.30	23.55	5A
m84073_231201_024147_s2/241570984/ccs	445	29.44	40.00	5A
m84073_231201_024147_s2/247271147/ccs	76	39.47	25.64	5A
m84073_231201_024147_s2/241571479/ccs	147	42.18	40.00	5A
m84073_231201_024147_s2/258543271/ccs	705	55.18	40.00	5A
m84073_231201_024147_s2/264180391/ccs	92	59.78	38.36	5A
m84073_231201_024147_s2/235998874/ccs	307	55.70	40.00	5A
m84073_231201_024147_s2/241636845/ccs	640	58.28	40.00	5A
m84073_231201_024147_s2/264181057/ccs	261	47.89	37.52	5A
m84073_231201_024147_s2/258610812/ccs	29	62.07	24.16	5A
m84073_231201_024147_s2/241636241/ccs	708	57.34	40.00	5A
m84073_231201_024147_s2/258608545/ccs	1069	41.44	40.00	5A
m84073_231201_024147_s2/236000329/ccs	699	53.51	40.00	5A
m84073_231201_024147_s2/264375923/ccs	34	50.00	40.00	5A
m84073_231201_024147_s2/264376967/ccs	594	54.88	26.34	5A
m84073_231201_024147_s2/236000881/ccs	623	57.14	40.00	5A
m84073_231201_024147_s2/253038014/ccs	92	55.43	29.22	5A
m84073_231201_024147_s2/253040162/ccs	593	54.81	23.08	5A
m84073_231201_024147_s2/241765903/ccs	640	58.28	38.73	5A
m84073_231201_024147_s2/241766540/ccs	741	56.95	40.00	5A
m84073_231201_024147_s2/241766641/ccs	315	58.10	40.00	5A
m84073_231201_024147_s2/253104897/ccs	115	47.83	40.00	5A
m84073_231201_024147_s2/247467376/ccs	132	49.24	39.36	5A
m84073_231201_024147_s2/253105513/ccs	706	54.53	40.00	5A
m84073_231201_024147_s2/236066692/ccs	706	54.53	36.07	5A
m84073_231201_024147_s2/258807427/ccs	1198	58.51	40.00	5A
m84073_231201_024147_s2/247532785/ccs	103	47.57	40.00	5A
m84073_231201_024147_s2/247468798/ccs	112	64.29	23.33	5A
m84073_231201_024147_s2/247469544/ccs	861	49.01	40.00	5A
m84073_231201_024147_s2/247532760/ccs	741	57.35	26.21	5A
m84073_231201_024147_s2/241767594/ccs	821	50.30	40.00	5A
m84073_231201_024147_s2/241831226/ccs	623	56.98	40.00	5A
m84073_231201_024147_s2/241768325/ccs	861	49.01	40.00	5A
m84073_231201_024147_s2/247469149/ccs	750	58.13	33.32	5A
m84073_231201_024147_s2/247532863/ccs	7	42.86	40.00	5A
m84073_231201_024147_s2/241832388/ccs	29	62.07	40.00	5A
m84073_231201_024147_s2/258936511/ccs	1088	61.12	40.00	5A
m84073_231201_024147_s2/236195652/ccs	1069	41.44	40.00	5A
m84073_231201_024147_s2/247599309/ccs	387	52.45	40.00	5A
m84073_231201_024147_s2/241833265/ccs	347	40.63	39.26	5A
m84073_231201_024147_s2/241897223/ccs	78	48.72	40.00	5A
m84073_231201_024147_s2/247599807/ccs	637	60.13	40.00	5A
m84073_231201_024147_s2/247600402/ccs	739	57.51	40.00	5A
m84073_231201_024147_s2/241896735/ccs	970	49.90	40.00	5A
m84073_231201_024147_s2/241897138/ccs	628	57.64	40.00	5A
m84073_231201_024147_s2/236197004/ccs	1224	51.23	39.78	5A
m84073_231201_024147_s2/236197318/ccs	828	50.12	32.03	5A
m84073_231201_024147_s2/247664666/ccs	1043	43.14	40.00	5A
m84073_231201_024147_s2/247664687/ccs	1069	41.44	40.00	5A
m84073_231201_024147_s2/264573568/ccs	476	53.36	40.00	5A
m84073_231201_024147_s2/247729266/ccs	592	54.73	39.98	5A
m84073_231201_024147_s2/264638794/ccs	706	54.67	40.00	5A
m84073_231201_024147_s2/241962982/ccs	420	50.48	40.00	5A
m84073_231201_024147_s2/241962877/ccs	708	57.34	40.00	5A
m84073_231201_024147_s2/241962569/ccs	1069	41.44	40.00	5A
m84073_231201_024147_s2/241963584/ccs	307	60.26	27.45	5A
m84073_231201_024147_s2/241963009/ccs	754	33.82	36.34	5A
m84073_231201_024147_s2/259003892/ccs	1068	53.37	40.00	5A
m84073_231201_024147_s2/259068145/ccs	427	59.48	40.00	5A
m84073_231201_024147_s2/253367581/ccs	114	49.12	29.78	5A
m84073_231201_024147_s2/236263017/ccs	1070	41.40	39.99	5A
m84073_231201_024147_s2/259003530/ccs	1068	53.28	25.32	5A
m84073_231201_024147_s2/264702996/ccs	623	56.98	28.17	5A
m84073_231201_024147_s2/247795202/ccs	741	57.35	40.00	5A
m84073_231201_024147_s2/259067997/ccs	623	56.98	39.98	5A
m84073_231201_024147_s2/259068947/ccs	593	55.14	40.00	5A
m84073_231201_024147_s2/242029843/ccs	476	53.15	38.49	5A
m84073_231201_024147_s2/253433154/ccs	623	56.82	40.00	5A
m84073_231201_024147_s2/236327619/ccs	815	50.80	23.25	5A
m84073_231201_024147_s2/253432471/ccs	741	57.35	31.05	5A
m84073_231201_024147_s2/236328253/ccs	739	57.37	38.21	5A
m84073_231201_024147_s2/236326062/ccs	623	56.98	40.00	5A
m84073_231201_024147_s2/253433111/ccs	1069	41.44	40.00	5A
m84073_231201_024147_s2/253431837/ccs	13	30.77	40.00	5A
m84073_231201_024147_s2/242030009/ccs	346	40.75	39.74	5A
m84073_231201_024147_s2/264834221/ccs	117	43.59	40.00	5A
m84073_231201_024147_s2/242094166/ccs	724	47.10	39.89	5A
m84073_231201_024147_s2/236391812/ccs	114	49.12	39.92	5A
m84073_231201_024147_s2/264835926/ccs	640	58.28	39.99	5A
m84073_231201_024147_s2/247926288/ccs	476	53.36	24.98	5A
m84073_231201_024147_s2/236392515/ccs	708	57.34	32.30	5A
m84073_231201_024147_s2/247861952/ccs	593	54.81	40.00	5A
m84073_231201_024147_s2/242158611/ccs	593	54.81	39.98	5A
m84073_231201_024147_s2/264900010/ccs	817	50.31	40.00	5A
m84073_231201_024147_s2/264836234/ccs	29	62.07	35.18	5A
m84073_231201_024147_s2/264835802/ccs	566	39.75	40.00	5A
m84073_231201_024147_s2/236393886/ccs	476	53.36	40.00	5A
m84073_231201_024147_s2/236393305/ccs	1069	41.44	40.00	5A
m84073_231201_024147_s2/236457064/ccs	1157	55.06	21.36	5A
m84073_231201_024147_s2/236458777/ccs	821	50.30	40.00	5A
m84073_231201_024147_s2/247991449/ccs	475	56.00	40.00	5A
m84073_231201_024147_s2/259265772/ccs	346	40.46	40.00	5A
m84073_231201_024147_s2/253563390/ccs	706	55.24	40.00	5A
m84073_231201_024147_s2/264901937/ccs	1069	41.44	40.00	5A
m84073_231201_024147_s2/264901356/ccs	635	58.90	27.32	5A
m84073_231201_024147_s2/236459764/ccs	1224	51.23	40.00	5A
m84073_231201_024147_s2/242224293/ccs	1224	51.23	40.00	5A
m84073_231201_024147_s2/253563706/ccs	0	0.00	40.00	5A
m84073_231201_024147_s2/236458155/ccs	7	42.86	40.00	5A
m84073_231201_024147_s2/264965885/ccs	368	54.35	40.00	5A
m84073_231201_024147_s2/253629023/ccs	708	57.34	30.93	5A
m84073_231201_024147_s2/236523033/ccs	821	50.30	40.00	5A
m84073_231201_024147_s2/236523522/ccs	587	51.96	40.00	5A
m84073_231201_024147_s2/253693433/ccs	498	51.61	40.00	5A
m84073_231201_024147_s2/253693450/ccs	127	57.48	40.00	5A
m84073_231201_024147_s2/264967017/ccs	635	59.06	40.00	5A
m84073_231201_024147_s2/248058602/ccs	1224	51.23	40.00	5A
m84073_231201_024147_s2/236588395/ccs	50	46.00	40.00	5A
m84073_231201_024147_s2/242225055/ccs	29	62.07	40.00	5A
m84073_231201_024147_s2/253694374/ccs	640	58.28	29.70	5A
m84073_231201_024147_s2/253758489/ccs	115	47.83	40.00	5A
m84073_231201_024147_s2/265031997/ccs	1069	41.44	40.00	5A
m84073_231201_024147_s2/242226569/ccs	1068	53.09	39.26	5A
m84073_231201_024147_s2/248123711/ccs	664	49.40	40.00	5A
m84073_231201_024147_s2/236590630/ccs	690	54.93	40.00	5A
m84073_231201_024147_s2/265096455/ccs	623	56.98	33.43	5A
m84073_231201_024147_s2/236654813/ccs	307	55.05	40.00	5A
m84073_231201_024147_s2/265097310/ccs	593	55.14	40.00	5A
m84073_231201_024147_s2/259460261/ccs	318	54.72	40.00	5A
m84073_231201_024147_s2/265098562/ccs	346	40.75	40.00	5A
m84073_231201_024147_s2/242357060/ccs	1069	41.44	40.00	5A
m84073_231201_024147_s2/248189931/ccs	476	53.36	39.98	5A
