#id	length	GC	avg.qual	sample
m84073_231201_024147_s2/234884798/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/234884861/ccs	952	38.76	39.18	5B
m84073_231201_024147_s2/251663748/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/251727189/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/262934801/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/234950984/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/234885642/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/240520587/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/240457082/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/262804501/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/251663736/ccs	330	44.24	40.00	5B
m84073_231201_024147_s2/257298858/ccs	596	51.51	35.67	5B
m84073_231201_024147_s2/262868094/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/234949874/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/246156589/ccs	330	44.24	40.00	5B
m84073_231201_024147_s2/251794125/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/257363025/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/263000234/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/234951625/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/235015262/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/257364960/ccs	950	38.74	40.00	5B
m84073_231201_024147_s2/257364575/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/234952159/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/263000938/ccs	898	38.64	21.90	5B
m84073_231201_024147_s2/235015321/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/257364592/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/263001022/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/257365397/ccs	270	38.15	40.00	5B
m84073_231201_024147_s2/263130984/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/240652049/ccs	949	38.88	28.44	5B
m84073_231201_024147_s2/235016638/ccs	952	38.87	40.00	5B
m84073_231201_024147_s2/257430592/ccs	589	51.44	23.67	5B
m84073_231201_024147_s2/246222864/ccs	349	42.41	39.97	5B
m84073_231201_024147_s2/235016536/ccs	68	57.35	34.07	5B
m84073_231201_024147_s2/251924568/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/235081285/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/235081572/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/251989479/ccs	950	38.74	39.91	5B
m84073_231201_024147_s2/246289032/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/257560340/ccs	330	44.55	40.00	5B
m84073_231201_024147_s2/263197986/ccs	949	38.88	38.21	5B
m84073_231201_024147_s2/263197720/ccs	948	38.92	40.00	5B
m84073_231201_024147_s2/235147239/ccs	950	38.74	40.00	5B
m84073_231201_024147_s2/251991016/ccs	330	44.24	40.00	5B
m84073_231201_024147_s2/257560369/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/251991285/ccs	949	38.78	39.99	5B
m84073_231201_024147_s2/246353780/ccs	951	38.91	40.00	5B
m84073_231201_024147_s2/246354061/ccs	950	38.84	40.00	5B
m84073_231201_024147_s2/257496694/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/240718950/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/240719379/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/246355391/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/240718668/ccs	977	53.33	36.92	5B
m84073_231201_024147_s2/235212696/ccs	386	44.04	40.00	5B
m84073_231201_024147_s2/257625819/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/252056084/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/235212128/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/235211887/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/257562057/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/252056368/ccs	952	38.97	25.87	5B
m84073_231201_024147_s2/246420910/ccs	951	38.80	40.00	5B
m84073_231201_024147_s2/246420625/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/246421198/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/235214369/ccs	395	41.01	40.00	5B
m84073_231201_024147_s2/235278068/ccs	949	38.88	29.56	5B
m84073_231201_024147_s2/240783429/ccs	270	39.26	24.91	5B
m84073_231201_024147_s2/240783570/ccs	1218	51.07	40.00	5B
m84073_231201_024147_s2/240783511/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/246486304/ccs	330	44.24	40.00	5B
m84073_231201_024147_s2/246485673/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/246486870/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/263263064/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/240784992/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/263327263/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/246486175/ccs	949	38.78	31.82	5B
m84073_231201_024147_s2/240848781/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/252121233/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/257824115/ccs	947	38.86	32.00	5B
m84073_231201_024147_s2/257758483/ccs	951	38.80	40.00	5B
m84073_231201_024147_s2/235343978/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/263393707/ccs	951	38.80	39.17	5B
m84073_231201_024147_s2/246551169/ccs	950	38.84	40.00	5B
m84073_231201_024147_s2/235344768/ccs	349	42.41	29.75	5B
m84073_231201_024147_s2/263393934/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/252185968/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/252186331/ccs	951	38.80	40.00	5B
m84073_231201_024147_s2/246615087/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/240915178/ccs	951	38.80	40.00	5B
m84073_231201_024147_s2/235409303/ccs	949	38.78	38.41	5B
m84073_231201_024147_s2/257889169/ccs	330	44.24	39.45	5B
m84073_231201_024147_s2/252188016/ccs	466	28.76	29.19	5B
m84073_231201_024147_s2/235410940/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/257889738/ccs	948	38.82	39.17	5B
m84073_231201_024147_s2/235411015/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/246615611/ccs	330	44.55	33.85	5B
m84073_231201_024147_s2/263460270/ccs	950	38.74	35.74	5B
m84073_231201_024147_s2/240979376/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/241044811/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/241045285/ccs	587	52.30	40.00	5B
m84073_231201_024147_s2/241044655/ccs	949	38.88	36.86	5B
m84073_231201_024147_s2/240981269/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/241110095/ccs	948	38.82	29.37	5B
m84073_231201_024147_s2/252383034/ccs	1218	51.07	40.00	5B
m84073_231201_024147_s2/246683273/ccs	350	44.00	40.00	5B
m84073_231201_024147_s2/246746373/ccs	949	38.78	39.99	5B
m84073_231201_024147_s2/246682585/ccs	331	44.41	39.97	5B
m84073_231201_024147_s2/246681632/ccs	252	42.06	40.00	5B
m84073_231201_024147_s2/241177062/ccs	948	38.82	40.00	5B
m84073_231201_024147_s2/263655822/ccs	950	38.84	40.00	5B
m84073_231201_024147_s2/241176790/ccs	949	38.78	39.99	5B
m84073_231201_024147_s2/241176308/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/241177531/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/252383420/ccs	949	38.88	31.14	5B
m84073_231201_024147_s2/258084506/ccs	350	44.00	40.00	5B
m84073_231201_024147_s2/241177576/ccs	949	38.88	40.00	5B
m84073_231201_024147_s2/258085541/ccs	349	42.41	40.00	5B
m84073_231201_024147_s2/235541929/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/258084116/ccs	949	38.78	40.00	5B
m84073_231201_024147_s2/241242613/ccs	949	38.78	19.51	5B
m84073_231201_024147_s2/241242380/ccs	949	38.78	36.83	5B
m84073_231201_024147_s2/241241906/ccs	350	42.29	22.91	5B
m84073_231201_024147_s2/241242412/ccs	949	38.78	40.00	5B
