#id	length	GC	avg.qual	sample
m84073_231201_024147_s2/257234138/ccs	623	57.14	40.00	5C
m84073_231201_024147_s2/252056293/ccs	332	44.58	40.00	5C
m84073_231201_024147_s2/240848128/ccs	184	43.48	40.00	5C
m84073_231201_024147_s2/235343578/ccs	637	58.40	22.48	5C
m84073_231201_024147_s2/235542154/ccs	475	56.00	39.47	5C
m84073_231201_024147_s2/241569477/ccs	622	56.91	40.00	5C
m84073_231201_024147_s2/264246168/ccs	710	39.01	40.00	5C
m84073_231201_024147_s2/236000203/ccs	623	56.98	40.00	5C
m84073_231201_024147_s2/236066506/ccs	1069	41.44	37.13	5C
m84073_231201_024147_s2/253170464/ccs	794	48.24	29.15	5C
m84073_231201_024147_s2/242552739/ccs	683	51.83	31.11	5C
m84073_231201_024147_s2/242554207/ccs	350	40.00	33.81	5C
m84073_231201_024147_s2/237047053/ccs	524	60.31	40.00	5C
m84073_231201_024147_s2/242751072/ccs	603	52.74	35.76	5C
m84073_231201_024147_s2/237311354/ccs	346	40.46	39.92	5C
m84073_231201_024147_s2/260248286/ccs	30	60.00	40.00	5C
m84073_231201_024147_s2/260312432/ccs	338	47.93	40.00	5C
m84073_231201_024147_s2/237768341/ccs	346	40.46	40.00	5C
m84073_231201_024147_s2/243731979/ccs	346	40.46	40.00	5C
m84073_231201_024147_s2/250940754/ccs	46	43.48	40.00	5C
m84073_231201_024147_s2/245240991/ccs	552	48.73	30.75	5C
m84073_231201_024147_s2/262147431/ccs	23	47.83	16.38	5C
m84073_231201_024147_s2/245633652/ccs	349	42.41	40.00	5C
m84073_231201_024147_s2/239998670/ccs	1142	53.50	21.17	5C
m84073_231201_024147_s2/251598053/ccs	891	49.94	40.00	5C
m84073_231201_024147_s2/201332540/ccs	297	36.03	31.07	5C
m84073_231201_024147_s2/207491527/ccs	634	58.83	40.00	5C
m84073_231201_024147_s2/201921278/ccs	349	42.41	40.00	5C
m84073_231201_024147_s2/218895057/ccs	429	51.75	31.33	5C
m84073_231201_024147_s2/208015379/ccs	398	47.99	40.00	5C
m84073_231201_024147_s2/230232800/ccs	355	40.56	39.77	5C
m84073_231201_024147_s2/219286654/ccs	628	57.64	40.00	5C
m84073_231201_024147_s2/219288045/ccs	634	43.69	23.91	5C
m84073_231201_024147_s2/219483181/ccs	349	42.12	39.77	5C
m84073_231201_024147_s2/219484735/ccs	345	40.29	40.00	5C
m84073_231201_024147_s2/224988505/ccs	286	42.31	40.00	5C
m84073_231201_024147_s2/208540332/ccs	705	55.18	40.00	5C
m84073_231201_024147_s2/202970675/ccs	199	33.17	40.00	5C
m84073_231201_024147_s2/208736259/ccs	897	49.94	24.23	5C
m84073_231201_024147_s2/214438367/ccs	637	59.03	29.95	5C
m84073_231201_024147_s2/214633546/ccs	399	56.14	26.65	5C
m84073_231201_024147_s2/225775099/ccs	74	39.19	40.00	5C
m84073_231201_024147_s2/225711408/ccs	508	60.83	39.98	5C
m84073_231201_024147_s2/225776467/ccs	891	50.28	39.99	5C
m84073_231201_024147_s2/225776416/ccs	706	54.67	40.00	5C
m84073_231201_024147_s2/214895624/ccs	623	57.14	40.00	5C
m84073_231201_024147_s2/231871454/ccs	512	60.74	29.56	5C
m84073_231201_024147_s2/215158392/ccs	716	56.15	40.00	5C
m84073_231201_024147_s2/204083756/ccs	710	39.01	38.92	5C
m84073_231201_024147_s2/221187295/ccs	798	54.64	24.84	5C
m84073_231201_024147_s2/210245014/ccs	318	55.35	40.00	5C
m84073_231201_024147_s2/204410130/ccs	1209	50.62	31.93	5C
m84073_231201_024147_s2/210374601/ccs	477	53.46	23.62	5C
m84073_231201_024147_s2/221583099/ccs	504	60.71	40.00	5C
m84073_231201_024147_s2/232919893/ccs	346	42.20	40.00	5C
m84073_231201_024147_s2/221843971/ccs	345	40.29	27.92	5C
m84073_231201_024147_s2/221976279/ccs	22	50.00	40.00	5C
m84073_231201_024147_s2/205068008/ccs	345	40.29	40.00	5C
m84073_231201_024147_s2/216273665/ccs	346	40.46	40.00	5C
m84073_231201_024147_s2/222237095/ccs	354	40.68	40.00	5C
m84073_231201_024147_s2/227284328/ccs	1069	41.44	23.31	5C
m84073_231201_024147_s2/222500336/ccs	29	62.07	31.05	5C
m84073_231201_024147_s2/233639438/ccs	301	36.54	39.88	5C
m84073_231201_024147_s2/233641564/ccs	623	57.14	39.94	5C
m84073_231201_024147_s2/216534149/ccs	348	40.80	21.56	5C
m84073_231201_024147_s2/222958605/ccs	346	40.46	39.97	5C
m84073_231201_024147_s2/211816218/ccs	346	40.17	39.95	5C
m84073_231201_024147_s2/216994520/ccs	508	60.83	40.00	5C
m84073_231201_024147_s2/234427677/ccs	1068	41.39	28.15	5C
m84073_231201_024147_s2/212145814/ccs	721	47.30	22.35	5C
m84073_231201_024147_s2/223546600/ccs	332	44.58	40.00	5C
m84073_231201_024147_s2/234821209/ccs	14	35.71	40.00	5C
m84073_231201_024147_s2/228789684/ccs	623	56.98	40.00	5C
m84073_231201_024147_s2/217781610/ccs	332	44.58	40.00	5C
m84073_231201_024147_s2/206640789/ccs	346	40.46	29.58	5C
m84073_231201_024147_s2/173676453/ccs	1067	53.23	40.00	5C
m84073_231201_024147_s2/185142589/ccs	262	51.53	39.96	5C
m84073_231201_024147_s2/173741496/ccs	345	40.29	40.00	5C
m84073_231201_024147_s2/196220639/ccs	893	50.39	28.71	5C
m84073_231201_024147_s2/178918798/ccs	96	39.58	40.00	5C
m84073_231201_024147_s2/178984410/ccs	632	56.49	27.91	5C
m84073_231201_024147_s2/229248017/ccs	0	0.00	27.91	5C
m84073_231201_024147_s2/196611485/ccs	456	29.17	39.41	5C
m84073_231201_024147_s2/174263734/ccs	346	45.09	40.00	5C
m84073_231201_024147_s2/190254278/ccs	35	51.43	40.00	5C
m84073_231201_024147_s2/185733629/ccs	354	40.68	28.92	5C
m84073_231201_024147_s2/190386586/ccs	346	40.46	21.67	5C
m84073_231201_024147_s2/190517424/ccs	7	28.57	40.00	5C
m84073_231201_024147_s2/174462019/ccs	518	60.42	40.00	5C
m84073_231201_024147_s2/174592807/ccs	1069	41.16	39.01	5C
m84073_231201_024147_s2/186062714/ccs	1038	40.37	40.00	5C
m84073_231201_024147_s2/190844659/ccs	346	40.46	40.00	5C
m84073_231201_024147_s2/190977152/ccs	346	40.46	36.39	5C
m84073_231201_024147_s2/186193195/ccs	893	50.28	24.47	5C
m84073_231201_024147_s2/186257738/ccs	1213	52.93	40.00	5C
m84073_231201_024147_s2/186520799/ccs	1219	53.73	26.27	5C
m84073_231201_024147_s2/169481934/ccs	87	29.89	27.91	5C
m84073_231201_024147_s2/169611390/ccs	892	50.34	38.26	5C
m84073_231201_024147_s2/187110321/ccs	654	58.10	32.56	5C
m84073_231201_024147_s2/192024679/ccs	1329	36.34	40.00	5C
m84073_231201_024147_s2/175904079/ccs	892	50.11	21.22	5C
m84073_231201_024147_s2/198383233/ccs	0	0.00	21.22	5C
m84073_231201_024147_s2/198643049/ccs	338	47.93	35.59	5C
m84073_231201_024147_s2/192287636/ccs	345	40.58	37.53	5C
m84073_231201_024147_s2/181407988/ccs	337	47.48	40.00	5C
m84073_231201_024147_s2/198841004/ccs	1082	40.20	34.88	5C
m84073_231201_024147_s2/198906531/ccs	1069	41.44	40.00	5C
m84073_231201_024147_s2/187830345/ccs	476	53.36	40.00	5C
m84073_231201_024147_s2/176689326/ccs	684	45.47	39.62	5C
m84073_231201_024147_s2/181868431/ccs	354	39.83	40.00	5C
m84073_231201_024147_s2/176886252/ccs	349	42.41	40.00	5C
