#id	length	GC	avg.qual	sample
m84073_231201_024147_s2/240456427/ccs	666	43.54	40.00	5E_control
m84073_231201_024147_s2/240456422/ccs	399	40.85	40.00	5E_control
m84073_231201_024147_s2/234886326/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/246027768/ccs	663	44.04	28.92	5E_control
m84073_231201_024147_s2/251662333/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/262868786/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/234884153/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/257297679/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/234885887/ccs	399	40.85	40.00	5E_control
m84073_231201_024147_s2/246027271/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/240520495/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/251663500/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/251663960/ccs	480	47.92	29.42	5E_control
m84073_231201_024147_s2/251727873/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/240521846/ccs	666	43.69	39.88	5E_control
m84073_231201_024147_s2/262868609/ccs	481	48.02	29.42	5E_control
m84073_231201_024147_s2/240522664/ccs	482	48.34	40.00	5E_control
m84073_231201_024147_s2/251728464/ccs	667	43.78	30.54	5E_control
m84073_231201_024147_s2/240521024/ccs	662	44.11	32.82	5E_control
m84073_231201_024147_s2/251728514/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/234949781/ccs	663	43.89	21.66	5E_control
m84073_231201_024147_s2/246093112/ccs	399	40.85	40.00	5E_control
m84073_231201_024147_s2/240522677/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/234950811/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/234886769/ccs	665	43.91	30.64	5E_control
m84073_231201_024147_s2/234950462/ccs	663	43.89	40.00	5E_control
m84073_231201_024147_s2/240456056/ccs	663	44.04	39.97	5E_control
m84073_231201_024147_s2/246091843/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/240520210/ccs	663	43.89	40.00	5E_control
m84073_231201_024147_s2/251793242/ccs	663	44.04	40.00	5E_control
m84073_231201_024147_s2/251729526/ccs	482	48.34	37.14	5E_control
m84073_231201_024147_s2/246092547/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/257299054/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/240586160/ccs	663	44.04	40.00	5E_control
m84073_231201_024147_s2/251793852/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/262935288/ccs	667	43.78	40.00	5E_control
m84073_231201_024147_s2/251794085/ccs	399	40.85	40.00	5E_control
m84073_231201_024147_s2/262935741/ccs	399	40.85	40.00	5E_control
m84073_231201_024147_s2/240585969/ccs	399	40.85	40.00	5E_control
m84073_231201_024147_s2/251793216/ccs	482	48.34	40.00	5E_control
m84073_231201_024147_s2/234951932/ccs	666	43.69	39.99	5E_control
m84073_231201_024147_s2/240587141/ccs	482	48.34	38.50	5E_control
m84073_231201_024147_s2/234952559/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/263001594/ccs	482	48.55	30.27	5E_control
m84073_231201_024147_s2/251859195/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/235015417/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/246221996/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/251858983/ccs	665	43.76	38.87	5E_control
m84073_231201_024147_s2/235016042/ccs	665	43.76	40.00	5E_control
m84073_231201_024147_s2/257364044/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/257364608/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/257364624/ccs	667	43.78	40.00	5E_control
m84073_231201_024147_s2/251859427/ccs	663	43.89	40.00	5E_control
m84073_231201_024147_s2/263130814/ccs	665	43.61	38.87	5E_control
m84073_231201_024147_s2/240588393/ccs	481	48.23	38.50	5E_control
m84073_231201_024147_s2/246222406/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/235018031/ccs	482	48.34	35.12	5E_control
m84073_231201_024147_s2/240652505/ccs	482	48.34	28.60	5E_control
m84073_231201_024147_s2/235017537/ccs	483	48.24	40.00	5E_control
m84073_231201_024147_s2/257430832/ccs	482	48.55	39.96	5E_control
m84073_231201_024147_s2/240651473/ccs	483	48.24	29.43	5E_control
m84073_231201_024147_s2/235016835/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/246223717/ccs	665	43.61	39.99	5E_control
m84073_231201_024147_s2/257429895/ccs	483	48.45	40.00	5E_control
m84073_231201_024147_s2/251989117/ccs	666	43.69	40.00	5E_control
m84073_231201_024147_s2/251989076/ccs	482	47.93	23.87	5E_control
m84073_231201_024147_s2/251925287/ccs	481	48.02	39.98	5E_control
m84073_231201_024147_s2/235081262/ccs	488	47.95	26.15	5E_control
m84073_231201_024147_s2/235082623/ccs	681	45.37	39.87	5E_control
m84073_231201_024147_s2/235082487/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/246289118/ccs	482	48.55	34.37	5E_control
m84073_231201_024147_s2/246287394/ccs	481	48.02	40.00	5E_control
m84073_231201_024147_s2/246289418/ccs	481	48.23	36.95	5E_control
m84073_231201_024147_s2/246288726/ccs	663	43.89	40.00	5E_control
m84073_231201_024147_s2/257494550/ccs	663	44.04	40.00	5E_control
m84073_231201_024147_s2/235148260/ccs	482	48.55	40.00	5E_control
m84073_231201_024147_s2/257560013/ccs	663	44.04	40.00	5E_control
m84073_231201_024147_s2/257495633/ccs	665	43.61	40.00	5E_control
m84073_231201_024147_s2/263261370/ccs	664	43.67	39.99	5E_control
m84073_231201_024147_s2/257559838/ccs	665	43.76	40.00	5E_control
m84073_231201_024147_s2/235148213/ccs	481	48.02	40.00	5E_control
