Feature ID	Taxon	Consensus
00076edac97e903018f4ef31da9dd1b8	Unassigned	1.0
0047e9ed84cb46b60712b7999c085bf4	Unassigned	1.0
004aef7614690ccf8f2008c767abe2cf	Unassigned	1.0
00c40fd042b319af1bb7fbca04d6b6b2	Unassigned	1.0
00cc1cd22baba119eb48a4fe122bb96c	Unassigned	1.0
01db38d4c2027f530d84fde39e8a11c0	Unassigned	1.0
01ed7b498312381e99b60cff4dc2b648	Unassigned	1.0
024905a96a8597e4edf54324b729f543	Unassigned	1.0
027d47b90263ceca891440abe80456a1	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Helotiales_gen_Incertae_sedis;s__Helotiales_sp;sh__SH1439605.09FU	1.0
028167f5908ac2ebd47d615fe5e40731	k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes;o__GS23;f__GS23_fam_Incertae_sedis;g__GS23_gen_Incertae_sedis;s__GS23_sp;sh__SH2059946.09FU	1.0
02bafc6e667b319940fd4140e1bb7509	Unassigned	1.0
02d85b4099d8082c67106c2a38ac5a6e	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Boletaceae;g__Rossbeevera;s__Rossbeevera_sp;sh__SH1639932.09FU	1.0
0321486d21e5359269c7d28fb1ba0031	Unassigned	1.0
0358c8bdce987a3121bd3752abd4538e	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__Trichoderma_sp;sh__SH1487724.09FU	1.0
0371fcc412d2056abb1730e971ccb8eb	Unassigned	1.0
03c21b931a120637cb546950e5375d1a	Unassigned	1.0
04a464e7c253d96f7679df77858a5080	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonales_fam_Incertae_sedis;g__Trichosporonales_gen_Incertae_sedis;s__Trichosporonales_sp;sh__SH1646367.09FU	1.0
04bc0c533fc70598e42678667d1fce72	Unassigned	1.0
04d3823599da0a848524dab7c8d6f3e1	Unassigned	1.0
050b0dbaaa719306f2862b367c136342	Unassigned	1.0
05644a00368805b9b6cce44cc142d758	Unassigned	1.0
0569d108844f282cc816e98b473076e4	Unassigned	1.0
05db43cd2a5603a4152134e6434ee838	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Hypocreales_gen_Incertae_sedis;s__Hypocreales_sp;sh__SH1691678.09FU	1.0
05db657168d068b38ca72f818e2fdcca	Unassigned	1.0
062a863227afb6cfcc2a162b05e799cd	Unassigned	1.0
06a326c54bb9d43a517cbb911b736165	Unassigned	1.0
06b8b79a5a97eb2603525bf6008af8b5	Unassigned	1.0
06d5034686cc808ea380cad87e04464d	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hysterangiales;f__Hysterangiaceae;g__Hysterangium;s__Hysterangium_sp;sh__SH1584249.09FU	1.0
080312dc34383078055b6dcde92103b6	Unassigned	1.0
081f4fb4efb422885baa0bab50bb42e5	Unassigned	1.0
08b4070efeccc2c84f77798a6f99e449	Unassigned	1.0
09c4283d245e14b74529a2a271d25d81	Unassigned	1.0
09e5094ff41414ac47ab59a3b3ccb721	Unassigned	1.0
0a0b0ffa31b807101c5f48d2a0eb54c7	Unassigned	1.0
0a63d954c8714bac74973445813099b9	Unassigned	1.0
0acb66d64351658d4ab49bf35d3f3a1d	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Helotiales_gen_Incertae_sedis;s__Helotiales_sp	1.0
0ad0d098218a0d9f95612fb1fb13f4cb	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_restrictum;sh__SH1946085.09FU	1.0
0b6a1bdbdf4e1b2fffe29206363c9992	Unassigned	1.0
0b831e26fa2abad008ec57714d0ecf3a	Unassigned	1.0
0bb3dd210f393bcdf9ca95768da0f495	Unassigned	1.0
0bb71544eade7e44ed6e95f424139e3e	k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes;o__GS23;f__GS23_fam_Incertae_sedis;g__GS23_gen_Incertae_sedis;s__GS23_sp;sh__SH2059941.09FU	1.0
0bf23785b374ae0680e318c59c18a755	Unassigned	1.0
0bf62f7e7c77630759d2f5299cfd5293	Unassigned	1.0
0cf03f9f36397237a7e429c8bb5f3218	Unassigned	1.0
0e3512e1d3534cc2c1665c9bdbec2921	Unassigned	0.0
0e556877a5340e0efc368504cd001ce1	Unassigned	1.0
0f30e3a418ea9c16317813db5265ca43	Unassigned	1.0
0f78595f81c89c701dbcbec8002e236a	Unassigned	1.0
0fe4faf5433867b954fdd77356c883d0	Unassigned	1.0
0fe6de6173c6190ef0697763d8675465	Unassigned	1.0
1010e7810dccaa6a9990948b6eb6d72b	Unassigned	1.0
1019ef431475a73f7590bd0bc40a656c	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Amorphothecaceae;g__Amorphothecaceae_gen_Incertae_sedis;s__Amorphothecaceae_sp;sh__SH1510222.09FU	1.0
1056130bcdbfe56dd7a488e9b7bbb183	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Rickenellaceae;g__Peniophorella;s__Peniophorella_pertenuis;sh__SH1768788.09FU	1.0
109872448ebb2a580ae665f26a3d7c6f	Unassigned	1.0
10ac16772a17ae7e88c76afaa0f93b81	Unassigned	1.0
10c776db234d1554d5320203383112da	Unassigned	1.0
10e66c90e548305b45ae8bbf4510990d	Unassigned	1.0
10f6aea6b54976db1f066b29e74ed80f	Unassigned	1.0
10f8f4575b60838ba5800e3e65394e11	Unassigned	1.0
1126b4aadfa7ee84ea1b3a0a4548da8d	Unassigned	1.0
11570f6374d524597a860d06cef8edcb	Unassigned	1.0
116e1fe9cdcdd66dd5136ef0be205077	k__Rhizaria;p__Cercozoa;c__Cercozoa_cls_Incertae_sedis;o__Cercozoa_ord_Incertae_sedis;f__Cercozoa_fam_Incertae_sedis;g__Cercozoa_gen_Incertae_sedis;s__Cercozoa_sp;sh__SH1953180.09FU	1.0
11940a4a56fce51efe83e35197eeaf79	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Venturiaceae;g__Venturia;s__Venturia_sp;sh__SH1501184.09FU	1.0
119464a9cc291f850597c0d6c13e43fe	Unassigned	1.0
11d63bd95e20d3cfbcb0a39123d2dd49	Unassigned	1.0
120a7c3e753b8490cc782e7e9963120a	Unassigned	1.0
1258339cc6835c5f94d0e98fcc7d36ae	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae;g__Tomentella;s__Tomentella_sp;sh__SH1819017.09FU	1.0
12e1f9bfab127d025e2c878786d48e01	Unassigned	1.0
12ef76c521ee69ecac75f7f414c8490e	Unassigned	1.0
144126dad90155a890d82a25bbd180c3	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Mycosphaerellales;f__Mycosphaerellales_fam_Incertae_sedis;g__Mycosphaerellales_gen_Incertae_sedis;s__Mycosphaerellales_sp;sh__SH1597386.09FU	1.0
144b3c56fcfa6c13db4fab13983b8673	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Hydnodontaceae;g__Trechispora;s__Trechispora_sp;sh__SH1446444.09FU	1.0
149ebbfbfab642e4754969059c702da4	Unassigned	1.0
14a3ac74e0a0e27be64527708fc52e9a	k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes;o__GS23;f__GS23_fam_Incertae_sedis;g__GS23_gen_Incertae_sedis;s__GS23_sp;sh__SH1360190.09FU	1.0
14eee96b1d67156a6f382c275debe747	Unassigned	1.0
15851b696f7fb6ad8f2b40dc11212d00	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Hymenochaetaceae;g__Coltriciella;s__Coltriciella_sp;sh__SH1732663.09FU	1.0
15b72c555abdf0de0d01f01cd6287e96	Unassigned	1.0
15bd301e25e1147fd13e4bd93a8a0300	Unassigned	1.0
15bd8be26429cf8b6383ccaa1efd3026	Unassigned	1.0
15eee36f7ab08d84b6ab616578fa7edf	Unassigned	1.0
1619287d8b002372d0b0f8e280d7f381	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_restrictum;sh__SH1946085.09FU	1.0
168d716483e6e131bb50964d337a23a6	Unassigned	1.0
16966247051b8bf6eb0a740fcfa08844	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_restrictum;sh__SH1946085.09FU	1.0
16abb1a9b54a244defd86ab9ade07eb6	Unassigned	1.0
16d6e372fc366403c57bf7004320226d	Unassigned	1.0
16f1aceedc74037faeab3d90e4c5085f	Unassigned	1.0
1897fe972f5558dbd9b0145ce461fe2c	Unassigned	1.0
18db72a05231951edfcda790de86e0ad	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Cordycipitaceae_gen_Incertae_sedis;s__Cordycipitaceae_sp;sh__SH2037677.09FU	1.0
1942b5c27d8c710661c234ded8c7d61a	Unassigned	1.0
19e1822ffeca8a4bbd3e59d7562cdc63	Unassigned	1.0
19f4ca9c62839d090b2d197edcd74d9a	Unassigned	1.0
19fad3b39f404662a0975f86ec558620	Unassigned	1.0
1a0cd18b0680ef57c22f8f9c08fd8179	Unassigned	1.0
1a3805160676ec36d83e259ab8e094ea	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Trichosphaeriales;f__Trichosphaeriaceae;g__Nigrospora	1.0
1b185c45aea99f4c4aa1ca3abf917d33	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Capronia;s__Capronia_sp;sh__SH1394523.09FU	1.0
1b2633e675a9bd1a69a559ef9b056e01	k__Alveolata;p__Ciliophora;c__Spirotrichea;o__Stichotrichida;f__Stichotrichida_fam_Incertae_sedis;g__Stichotrichida_gen_Incertae_sedis;s__Stichotrichida_sp;sh__SH1983296.09FU	1.0
1bcecaf907c0318ac4f72d767618bc99	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae;g__Coniochaeta;s__Coniochaeta_sp;sh__SH1386296.09FU	1.0
1c6bb53b6bc28efd6582144a9e9003e3	Unassigned	1.0
1ca65721fe29bf818fb3c57ea587bb22	Unassigned	1.0
1d2347078bdbf9763a3c066e710ceb4f	Unassigned	1.0
1d27f907185cc93eae46030dd90ef207	Unassigned	1.0
1d98cedbbdc63043730c7e867f003f82	Unassigned	1.0
1de05fc0d9bdd38f21a32fc8b72dca98	Unassigned	1.0
1f1560f078d6c94adb77eb84020f0cb9	Unassigned	1.0
1f519da51862aab1621d5b06bfbfe616	Unassigned	1.0
1faec1c7b534c9ffb10e0f237e716820	Unassigned	1.0
1fc4b2f175ebf97f9c6b5af9b9ac8cc2	Unassigned	1.0
2020b100ff83371fcc5a7200a095d9e4	Unassigned	1.0
20533e4b044c8c91254e6fc343d8a062	Unassigned	1.0
206b1f60e805663c8ab483fc8100512a	Unassigned	1.0
207fe313e4e3f2474453d0935dfb4fde	k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis;s__Fungi_sp;sh__SH1530995.09FU	1.0
20a6b6c93466870eda2e09979c481f6f	Unassigned	1.0
22869ff0b2c817d4d4ab93c75d2d0a4f	Unassigned	1.0
230e1a44f88426570758bc3d33689a04	Unassigned	1.0
